population,line,individual,blade_location,smaller_area_measured,hole_punch_farther_than_4cm,end_farther_than_4cm,blade_location_original,measurement_specifics,"Area (60x60 circle, should be 2828pixels^2)",mean_grey_scale,min_grey_scale,max_grey_scale,weight_of_hole_punch_mg,NOTES,NOTES
Vancouver,5,11,hole punch,no,no,no,hole punch,5.11.jpg:Hole punch,2828,124.547,114,132,1.257,,
Vancouver,5,11,middle,no,no,no,middle,5.11.jpg:Middle,2828,145.477,138,150,1.257,,
Vancouver,5,11,end,no,no,no,end,5.11.jpg:End,2828,162.392,154,169,1.257,,
Vancouver,5,12,hole punch,no,no,no,hole punch,5.12.jpg:Hole punch,2828,122.458,116,127,1.124,,
Vancouver,5,12,middle,no,no,no,middle,5.12.jpg:Middle,2828,139.02,127,165,1.124,,
Vancouver,5,12,end,no,no,no,end,5.12.jpg:End,2828,156.009,78,167,1.124,,
Vancouver,10,1,hole punch,no,no,no,hole punch,10.1.jpg:Hole punch,2828,113.476,104,121,1.286,,
Vancouver,10,1,middle,no,no,no,middle,10.1.jpg:Middle,2828,139.935,129,145,1.286,,
Vancouver,10,1,end,no,no,no,end,10.1.jpg:End,2828,156.184,121,166,1.286,,
Vancouver,10,2,hole punch,no,no,no,hole punch,10.2.jpg:Hole punch,2828,141.568,134,148,1.047,,
Vancouver,10,2,middle,no,no,no,middle,10.2.jpg:Middle,2828,151.504,143,174,1.047,,
Vancouver,10,2,end,no,no,no,end,10.2.jpg:End,2828,164.766,143,179,1.047,,
Vancouver,10,3,hole punch,no,no,no,hole punch,10.3.jpg:Hole punch,2828,139.225,134,144,0.87,,
Vancouver,10,3,middle,no,no,no,middle,10.3.jpg:Middle,2828,140.052,133,145,0.87,,
Vancouver,10,3,end,no,no,no,end,10.3.jpg:End,2828,163.419,149,173,0.87,,
